순위,시도명,관광지명,주소,중분류,소분류,검색건수
73,서울특별시,그랜드워커힐서울,서울 광진구 워커힐로 177-0,숙박,호텔,321846
74,경상남도,이마트창원점,경남 창원시 성산구 원이대로 608-0,쇼핑,대형마트,317376
75,경기도,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,314278
76,서울특별시,신세계백화점본점,서울 중구 소공로 63-0,쇼핑,백화점,312372
77,경기도,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,311452
78,경기도,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,311316
79,경기도,일산호수공원,경기 고양시 일산동구 호수로 595-0,문화관광,도시공원,310244
80,세종특별자치시,코스트코홀세일세종점,세종시 종합운동장1로 14-0,쇼핑,대형마트,309514
81,경상남도,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,303015
82,서울특별시,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,298574
83,경기도,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,293680
84,경기도,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점,291204
85,강원도,강원랜드카지노,강원 정선군 하이원길 265-0,문화관광,기타문화관광지,290442
86,서울특별시,이마트월계점,서울 노원구 마들로3길 15-0,쇼핑,대형마트,288850
87,서울특별시,어린이대공원,서울 광진구 능동로 216-0,문화관광,테마공원,288505
88,경기도,이마트분당점,경기 성남시 분당구 불정로 134-0,쇼핑,대형마트,282580
89,강원도,안목해변,강원 강릉시 창해로14번길 20-1,자연관광,자연경관(하천/해양),282520
90,경기도,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,278055
91,경기도,홈플러스서수원점,경기 수원시 권선구 금곡로 236-0,쇼핑,대형마트,276753
92,서울특별시,하나로마트양재점,서울 서초구 청계산로 10-0,쇼핑,대형마트,272359
93,경기도,CGV평택고덕,경기 평택시 경기대로 945-0,문화관광,공연시설,268848
94,부산광역시,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양),266181
95,경기도,서울대공원,경기 과천시 대공원광장로 102-0,문화관광,테마공원,265692
96,경기도,롯데시네마센트럴락,경기 안산시 단원구 고잔로 108-0,문화관광,공연시설,265136
97,제주특별자치도,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,263990
98,경기도,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑,쇼핑몰,263356
99,인천광역시,소래포구종합어시장,인천 남동구 소래역로 12-0,쇼핑,시장,262730
100,부산광역시,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양),262536
